"","x"
"1","RespondentID_"
"2","CollectorID_"
"3","StartDate_"
"4","EndDate_"
"5","IP.Address_"
"6","A.1.Please.create.a.unique.identification.code.Just.type.in.birthday.in.the.format.DD.MO.YY.and.the.first.two.letters.of.first.name.followed.by.the.first.two.letters.of.first.name.and.first.two.letter.of.last.name.For.example.Maris.Miller.was.born.on.October.9.1975.So.her.code.would.be.091075MAMI._Open.Ended.Response"
"7","A.4.Have.you.already.graduated.from.EM.course._Response"
"8","A.5.When.did.you.start.EM.Course._Response"
"9","A.6.When.did.you.will.you.finish.EM.Course._Response"
"10","A.7.What.is.nationality.please.choose.one.only._Response"
"11","X.21_Other.please.specify."
"12","What.is.second.nationality.please.choose.one.if.applicable._Response"
"13","X.22_Other.please.specify."
"14","A.8.Age._Response"
"15","A.9.Gender._Response"
"16","X.23_Other."
"17","A.10.Have.you.been.awarded.an.Erasmus.Mundus.scholarship.for.master.studies._Response"
"18","A.11.Did.family.accompany.you.throughout.master.course.either.for.the.entire.course.or.partially._Response"
"19","A.11.a.Rate.the.support.received.on.the.following.issues.regarding.family.relocation._Information.about.support.structures.for.family.relocation"
"20","X.24_General.support.with.the.relocation.of.family"
"21","A.11.b.Please.comment.on.any.other.aspect.relevant.to.family.relocation.throughout.Erasmus.Mundus.Course._Open.Ended.Response"
"22","A.12.Do.you.have.any.diagnosed.disability._Response"
"23","A.12.a.Please.indicate.below.any.diagnosed.disabilities._Open.Ended.Response"
"24","A.12.b.Rate.the.support.received.to.accommodate.needs._Information.about.support.structures.to.accommodate.needs"
"25","X.25_General.support.to.accommodate.needs.throughout.the.program"
"26","A.12.c.Please.comment.on.any.other.aspect.relevant.to.the.accommodation.of.disability.throughout.Erasmus.Mundus.course._Open.Ended.Response"
"27","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Enrolling.in.classes"
"28","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Standards.of.behavior"
"29","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Evaluation.methods"
"30","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Timetable"
"31","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Course.content"
"32","B.1.1.Rate.the.information.and.support.received.before.the.start.of.Erasmus.Mundus.master.course.on.the.following.aspects._Information.about.fieldwork"
"33","B.1.2.Rate.the.orientation.welcoming.program.provided.upon.arrival._"
"34","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Academic.staff"
"35","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Administrative.staff"
"36","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._University.facilities"
"37","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Library"
"38","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._International.Student.Office"
"39","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Student.associations"
